u,g,r,i,z,redshift,subclass
18.993428306022466,16.152480635954593,14.643010539025557,14.713153567082141,14.696572495333637,0.07668104169895211,STARFORMING
17.72347139765763,16.093171783232293,15.389001073892695,14.93468819251938,14.566647185071332,0.5313068804665877,STARFORMING
19.295377076201383,13.40871365473997,14.805237877909715,15.128589757175163,12.126960308389018,0.015330386445069247,STARFORMING
21.04605971281605,16.339819616597126,16.22083609389224,16.89372292329236,15.159168443527477,0.1982143670256368,STARBURST
17.531693250553328,18.46565816364349,18.394357062923824,13.505565383026513,11.019834648846764,0.0687568774187149,STARFORMING
17.53172608610164,14.45153576184641,14.457915685717591,13.30730601697468,12.691631348479342,0.00229760507569064,STARFORMING
21.158425631014783,19.096965302101186,18.001640995536828,17.47323948428595,10.001824374204384,0.35835448306078554,STARBURST
19.534869458305817,17.975549642168676,14.436655855306224,14.074710516237403,17.11725303392563,0.335377671892781,STARBURST
17.061051228130097,15.531533356057924,14.304745575006232,12.473929292845867,13.536901012109409,0.048332531446848515,STARBURST
19.08512008717193,16.716940725324307,17.637189236686428,14.02974011580026,18.333768069632622,0.30822071636254816,STARBURST
17.073164614375074,20.196643615282067,17.843872756015234,14.339894529511998,15.60589985303899,0.015199758201844396,STARFORMING
17.068540492859487,18.46709562701173,17.702819873525307,18.10992545545153,14.89619642670205,0.11397785334378152,STARFORMING
18.48392454313207,17.017567309796295,13.368405183563718,16.849652424753476,12.827544611438002,0.021310533680786684,STARFORMING
14.173439510684403,16.52463336607803,15.068098043855898,17.295041233264485,11.90729992862516,0.02832216832406429,STARFORMING
14.550164334973935,17.15321814090332,17.645977184006643,16.639947284693573,15.04594314779389,0.15111206094810647,STARFORMING
16.875424941518055,15.976472884115394,16.08308368112779,16.892487343230627,13.856971981454036,0.04737837000240552,STARFORMING
15.974337759331153,12.79050098856197,13.852614307605071,13.623835746839363,11.321459369029398,0.0007153024821262663,STARFORMING
18.628494665190548,21.08435582106946,16.916635878250883,14.602795689293032,10.966283166983363,0.053484243942602996,STARFORMING
16.183951848957577,17.3106499983988,14.570385482017059,13.020169373952902,12.082592541712833,0.025886052655505417,STARFORMING
